gene	transcript	D01_Ctrl_0h	D01_Lps_1h	D01_Lps_2h	D01_Lps_4h	D01_Lps_6h	D09_Ctrl_0h	D09_Lps_1h	D09_Lps_2h	D09_Lps_4h	D09_Lps_6h
TGFB2-AS1	NA	0	0	0	0	0	0	0	0	0	0
HCRTR1	NA	1	2	2	0	5	2	0	0	4	3
CFC1B	NA	0	0	0	0	0	0	0	0	0	0
PSD2	NA	0	1	1	0	0	0	0	0	0	0
ARHGEF26	NA	8	2	0	3	9	1	0	2	8	5
TIGD2	NA	57	25	5	1	3	49	15	7	8	3
PREX2	NA	1	0	1	7	19	0	0	1	8	7
SCRN1	NA	499	657	312	276	687	468	542	299	466	538
LOC101929229	NA	0	0	0	0	0	0	0	0	0	0
COQ10A	NA	6	15	4	0	5	9	8	4	2	4
NUGGC	NA	0	0	0	0	0	1	1	1	0	0
DDI2	NA	830	787	284	122	476	611	665	276	315	451
KIAA0930	NA	9032	10529	4483	1598	3619	6587	6959	4979	3792	2698
PFN1P2	NA	28	10	7	10	30	20	21	26	17	26
UCN2	NA	1	3	0	3	4	3	4	5	0	0
METTL7B	NA	14	7	0	2	6	81	86	41	27	19
ZNF511	NA	178	200	80	29	87	116	197	112	123	122
LOC101930010	NA	0	0	0	0	0	0	0	0	0	0
ZMYM5	NA	120	116	51	54	149	79	115	109	142	123
ZNF586	NA	144	66	31	26	40	71	83	127	103	113
POLR3G	NA	17	12	7	4	5	12	6	9	10	6
NXF4	NA	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	NA	0	0	0	0	0	0	0	0	0	0
LINC01301	NA	0	1	0	0	0	2	0	0	0	0
DEFA1B	NA	0	0	0	0	0	0	0	0	0	0
MIR5692B	NA	0	0	0	0	0	0	0	0	0	0
ZNF726	NA	4	0	0	2	1	2	5	1	0	0
TANK	NA	769	1098	1216	1228	3045	618	1404	1730	2259	2175
RCAN1	NA	544	987	746	572	1197	213	857	941	1041	1217
PELI3	NA	222	276	89	15	35	139	147	81	38	31
LIMD2	NA	1038	1216	508	130	209	450	475	312	161	119
LOC101928371	NA	0	0	0	0	0	3	2	0	21	5
TMEM189	NA	757	844	404	351	1294	468	522	587	889	1020
NTN4	NA	0	0	0	0	1	0	0	0	0	0
HSFY2	NA	0	0	0	0	0	0	0	0	0	0
LOC100130744	NA	29	37	21	18	36	28	38	26	20	17
CLEC2A	NA	0	0	0	0	0	0	0	0	0	0
GPR135	NA	4	1	0	0	1	0	0	0	0	0
DPYSL4	NA	6	4	1	1	0	5	2	4	1	1
JAK2	NA	1211	1393	632	1809	3894	682	822	748	3976	3271
TSHZ1	NA	563	606	154	25	128	404	384	177	118	177
TM9SF4	NA	1341	1572	810	397	1078	839	910	741	875	1131
ZNF264	NA	929	437	228	271	669	799	480	469	929	741
SIRPG	NA	0	1	0	0	0	4	3	1	0	1
MIR2681	NA	0	0	0	0	0	0	0	0	0	0
BICD1	NA	23	36	7	2	2	31	27	14	7	14
LINC00901	NA	0	0	0	0	0	0	0	0	0	0
HERC6	NA	87	121	136	934	3668	49	79	282	2171	2885
METTL5	NA	214	278	95	43	129	143	173	118	116	118
CASP1	NA	389	554	320	368	1016	354	476	529	998	1099
PRRT1	NA	0	0	0	0	0	0	0	0	0	0
LOC100130987	NA	0	1	0	2	1	1	0	0	0	0
MIR3130-1	NA	0	0	0	0	0	0	0	0	0	0
MYCL	NA	502	436	58	5	27	217	140	28	12	10
MIR4258	NA	0	0	0	0	0	0	0	0	0	0
PLA2G4C	NA	103	88	49	32	98	161	171	133	157	158
ICA1L	NA	21	9	11	1	6	11	20	7	16	2
TPTE2	NA	0	1	0	0	0	0	2	0	0	0
OTUD7A	NA	1	0	0	0	3	2	0	0	0	2
AQP11	NA	11	3	3	1	6	3	3	0	9	4
APOA2	NA	0	0	1	3	0	0	0	0	3	0
KALRN	NA	0	0	0	2	0	0	1	1	0	1
SECTM1	NA	79	83	34	135	582	55	46	43	205	310
IFNAR1	NA	2334	2576	1164	765	2034	2140	2279	1720	2349	2721
LAMTOR5	NA	629	853	419	272	630	489	626	468	674	578
TALDO1	NA	2903	3371	1554	997	2496	2182	2377	1809	2624	2259
RAB11FIP4	NA	634	744	215	21	109	360	367	145	57	77
C5orf56	NA	5	8	0	10	31	1	3	1	25	32
LINC00709	NA	0	0	0	0	0	0	0	0	0	0
LOC100288748	NA	0	0	0	0	0	0	0	0	1	0
LINC01378	NA	0	0	0	0	0	0	0	0	0	0
MIR6129	NA	0	0	0	0	0	0	0	0	0	0
EIF5A	NA	2525	3547	2113	1529	4342	1594	1891	1968	3217	3398
B3GALT5-AS1	NA	0	0	0	0	0	0	0	0	0	0
FAM49A	NA	408	569	342	742	2742	288	415	438	1576	1953
NEGR1	NA	3	0	2	0	1	4	0	2	0	0
YTHDC2	NA	331	430	141	90	126	337	419	246	309	219
EHD2	NA	10	8	5	3	18	21	25	25	57	87
UBE2Q2P2	NA	0	0	0	0	1	1	0	0	4	0
NCF1	NA	648	957	808	2557	8585	340	539	721	1587	1567
EMC3-AS1	NA	18	19	15	2	9	18	11	7	7	1
SCRT2	NA	15	8	1	2	6	3	2	2	0	1
NUP133	NA	516	556	219	69	230	345	336	173	165	210
C6orf52	NA	0	0	1	1	0	0	4	3	2	0
HOXA5	NA	0	2	2	1	4	0	0	0	0	0
PSMD5-AS1	NA	42	28	13	4	17	72	53	40	25	37
XXYLT1	NA	754	794	380	91	97	389	414	269	143	79
TPGS1	NA	25	35	10	1	12	19	18	24	15	21
FGF12	NA	0	1	0	0	0	0	2	0	0	0
SLMO2	NA	394	585	343	268	511	420	552	406	725	648
NPIPB5	NA	830	1063	585	586	1307	609	860	1059	1257	680
SNTA1	NA	7	9	3	5	7	9	25	12	7	16
CACNG2	NA	0	0	0	0	0	0	0	0	0	0
GCM1	NA	2	1	0	0	1	0	0	0	0	0
HNRNPK	NA	6617	7879	4350	3801	8775	5046	6346	5254	7913	7465
TLR5	NA	350	350	140	12	17	389	372	128	39	13
TCFL5	NA	51	50	18	3	3	36	40	17	8	13
ELF1	NA	2468	2507	1314	1694	3348	1919	2132	1540	2853	2071
FAM157A	NA	3	0	0	0	0	1	0	0	0	5
TPI1P2	NA	17	7	3	3	5	1	1	3	9	6
RBMY2FP	NA	0	0	0	0	0	0	0	0	0	0
LOC728175	NA	3	0	0	1	2	0	0	0	2	0
CASC9	NA	4	3	1	0	0	1	0	1	3	0
FPGT-TNNI3K	NA	9	1	1	2	2	0	1	5	1	0
FAM129B	NA	3723	4690	2153	1319	4199	2824	3401	3050	3655	4483
ICE1	NA	692	826	349	339	747	545	617	509	824	809
NCK2	NA	238	301	331	868	2353	173	201	476	1807	1582
MIR1292	NA	0	0	0	0	0	0	0	0	0	0
OXA1L	NA	2685	2976	1384	413	831	1547	1692	1017	725	692
FMO9P	NA	0	0	0	0	0	0	0	0	0	0
HHIPL1	NA	1	6	5	0	0	0	0	1	0	1
LOC100506472	NA	17	6	1	1	1	5	2	1	1	2
LOC103312105	NA	0	0	0	0	0	0	0	0	0	0
ZSCAN12	NA	50	34	11	22	45	56	32	40	65	46
PSMD12	NA	579	644	335	400	1147	410	634	532	1111	972
LOC101927637	NA	0	0	0	0	0	0	0	0	0	0
HSCB	NA	83	69	26	22	34	48	34	21	51	37
SALRNA3	NA	0	0	0	0	0	0	0	0	0	0
CLDN10	NA	0	0	0	0	0	0	0	0	0	0
HPCAL4	NA	0	0	0	0	0	1	0	0	0	0
ASZ1	NA	0	0	0	0	0	0	0	0	0	0
MIR138-2	NA	0	0	0	0	0	0	0	0	0	0
MEX3D	NA	39	52	40	14	36	42	34	38	30	41
CACNA2D3-AS1	NA	0	0	0	0	0	0	0	0	0	0
MIR6868	NA	0	0	0	0	0	0	0	0	0	0
NFAT5	NA	2020	2681	1926	3333	7398	1394	1954	2676	7485	4564
TAF1D	NA	161	203	109	78	154	106	205	128	164	180
SRGAP2C	NA	248	345	111	221	581	239	274	164	556	299
MIR4750	NA	0	0	0	0	0	0	0	0	0	0
SPDYE1	NA	27	30	22	11	46	34	22	36	51	27
PCED1A	NA	173	221	145	50	96	136	111	121	120	63
CCAR2	NA	624	768	331	162	470	393	476	364	441	506
DVL1	NA	117	202	94	61	155	64	140	138	165	177
FBXO3	NA	186	139	51	48	83	127	111	60	92	62
CMKLR1	NA	1143	997	388	366	1313	1173	920	805	702	1449
TYMS	NA	7	6	2	1	4	8	8	5	11	7
PEF1	NA	457	526	252	149	468	343	359	276	361	382
LINC00575	NA	0	0	0	0	0	0	0	0	0	0
ZNF750	NA	0	1	0	0	0	1	0	0	1	1
ZFAS1	NA	840	919	422	286	769	235	364	232	445	361
MCM5	NA	427	550	270	71	109	317	383	242	187	161
NOL4L	NA	291	348	158	184	400	208	308	248	398	427
MEGF11	NA	5	7	3	6	15	1	0	1	6	4
LOC101927416	NA	0	0	0	0	0	0	0	0	0	0
DICER1-AS1	NA	6	0	0	1	0	1	0	0	0	0
PTP4A3	NA	2	6	2	7	21	2	2	2	18	6
KCNK7	NA	3	7	0	3	9	1	5	7	1	3
C1QTNF2	NA	0	0	0	0	0	0	0	0	0	0
OR6S1	NA	0	0	0	0	0	0	0	0	0	0
SNORD116-21	NA	0	0	0	0	0	0	0	0	0	0
LOC100130476	NA	4	151	56	25	36	1	82	76	31	28
ZNF542P	NA	196	147	33	12	44	137	95	32	36	50
FAM122B	NA	226	260	141	57	187	145	148	129	174	130
ZNF551	NA	142	79	39	11	37	81	42	36	71	34
HBQ1	NA	0	0	0	0	0	0	0	0	0	0
GEMIN6	NA	74	68	12	6	18	47	34	12	23	35
LINC00881	NA	0	0	0	0	0	0	0	1	0	0
LINC01567	NA	0	0	0	0	0	0	0	1	0	0
LOC102467213	NA	0	0	0	0	0	0	0	0	0	0
LINC-PINT	NA	65	235	94	160	237	56	316	210	316	203
ARSK	NA	55	59	12	19	43	55	76	31	58	39
RBP7	NA	8	14	2	11	6	6	11	10	10	6
LINC00641	NA	122	352	189	98	198	77	306	283	233	141
CPNE9	NA	34	44	27	7	27	36	29	27	23	15
DSC1	NA	0	0	2	0	0	1	0	0	1	0
MAP2K4	NA	674	751	293	204	518	472	490	298	491	454
SPATA32	NA	1	0	0	0	0	0	0	0	2	0
GIMAP1-GIMAP5	NA	41	26	3	0	11	11	0	14	0	18
KRTAP22-2	NA	0	0	0	0	0	0	0	0	0	0
HS3ST5	NA	3	1	0	0	3	1	0	1	3	0
EPB41L3	NA	1072	1352	857	953	2951	836	898	1130	2216	2736
TEKT2	NA	0	0	0	0	0	0	0	0	0	0
CDKN2B	NA	4	25	39	32	39	15	37	118	85	44
ZNF480	NA	37	47	8	4	9	140	78	27	28	40
LOC102723582	NA	0	0	0	0	3	3	0	4	3	0
MAP3K6	NA	153	183	70	32	73	114	132	105	73	50
MIR943	NA	0	0	0	0	0	0	0	0	0	0
SRRD	NA	80	102	27	22	62	81	61	36	68	35
MAP6	NA	0	0	0	0	1	0	0	0	0	0
HN1	NA	378	454	194	95	221	308	320	246	215	200
NYAP1	NA	0	0	0	2	2	0	0	2	5	0
OR2L13	NA	0	0	0	0	0	0	0	0	0	0
SLC16A11	NA	2	0	0	0	2	1	0	0	2	0
MIR219A2	NA	0	0	0	0	0	0	0	0	0	0
PPP6R2	NA	436	608	283	134	319	303	384	393	332	312
APOL1	NA	247	287	173	259	897	160	207	307	755	658
FAM96A	NA	681	830	356	185	296	507	601	398	362	256
RTP1	NA	0	0	0	0	0	0	0	0	0	0
LINC00622	NA	8	16	3	11	4	11	18	15	17	8
RNF175	NA	3	13	4	8	10	1	3	10	31	22
AIF1L	NA	0	0	0	0	1	2	0	0	0	0
ZBTB41	NA	365	287	40	110	313	340	233	89	281	311
AHCTF1	NA	1230	1649	822	329	681	732	1108	689	885	726
ACTRT3	NA	9	20	3	2	3	14	10	6	26	14
ITGA2	NA	0	1	3	1	8	3	2	0	6	19
MIR3127	NA	0	0	0	0	0	0	0	0	0	0
MME	NA	62	71	22	16	49	29	42	16	25	19
TEX26	NA	0	0	0	0	0	0	0	0	0	0
CCDC14	NA	85	151	51	22	25	97	185	82	39	31
MAST4	NA	100	64	27	6	59	69	73	39	23	53
EFCAB12	NA	0	0	0	0	0	0	1	1	1	0
KRT33B	NA	0	0	0	0	0	0	0	0	0	0
KCTD2	NA	473	392	127	96	291	262	194	172	249	238
ABHD16B	NA	73	76	35	14	29	42	85	100	41	36
WDR26	NA	3304	4274	2148	1297	2680	2251	3074	2353	2836	2180
LOC101928167	NA	0	0	0	0	0	0	0	0	0	0
MFI2	NA	256	253	151	85	222	48	63	41	57	69
NR4A3	NA	2035	6811	10401	9136	18100	1439	7681	11627	13611	12102
SNORD41	NA	0	0	0	0	0	0	0	0	0	0
AMER3	NA	0	0	0	0	0	0	0	0	0	0
ARSA	NA	311	412	217	110	378	300	348	360	348	340
PIH1D3	NA	0	0	0	0	0	0	0	0	0	0
MBL1P	NA	0	0	0	0	0	0	0	0	0	0
UNKL	NA	81	62	12	19	54	48	55	19	21	44
MIR2114	NA	0	0	0	0	0	0	0	0	0	0
ZNF839	NA	71	86	22	16	52	29	46	31	37	39
SULT6B1	NA	0	0	0	0	0	0	0	0	0	0
SOX15	NA	6	5	1	0	4	2	6	4	1	1
CCNA2	NA	11	15	10	5	8	15	13	5	12	6
PPAPDC1B	NA	191	252	143	55	182	175	190	133	278	170
DNASE1L1	NA	287	361	179	107	253	335	453	352	385	368
LOC100289361	NA	0	8	3	1	0	0	0	6	0	0
LINC00226	NA	0	0	0	0	0	0	0	0	0	0
C19orf44	NA	20	13	5	0	8	10	13	1	3	6
MCAT	NA	57	39	11	1	11	39	38	27	15	16
ARID1B	NA	1639	1792	758	211	603	1043	1063	758	539	572
OR52N1	NA	0	0	0	0	0	0	0	0	0	0
FALEC	NA	0	0	0	0	0	0	0	0	0	0
VAV3-AS1	NA	0	1	0	0	0	0	0	0	1	0
BRICD5	NA	2	6	1	2	6	0	0	2	4	0
WDPCP	NA	125	167	81	22	35	65	123	63	43	36
LINC00908	NA	0	0	0	0	0	0	0	0	3	0
LOC101241902	NA	3	1	0	1	3	0	0	0	0	1
MAGI1	NA	0	0	0	0	0	0	1	0	0	0
NIPA2	NA	1140	1229	662	712	1782	829	923	762	1457	1331
GBX2	NA	0	0	0	0	0	0	0	0	0	0
SLC30A2	NA	0	0	0	0	0	0	0	0	0	0
RAVER1	NA	1152	1347	587	184	441	687	811	575	468	512
TSTD1	NA	60	53	21	21	57	28	48	47	70	31
PCYT1B	NA	1	0	0	0	1	0	0	0	1	1
SLC25A39	NA	716	820	421	205	572	587	562	445	554	514
EIF3H	NA	2218	2440	1260	874	1841	1284	1564	1103	1511	1192
KIF1B	NA	1792	2438	3489	2273	4356	1690	3289	6102	4446	3580
AMOTL2	NA	0	1	0	19	9	0	0	0	25	8
C6orf120	NA	459	544	276	144	305	459	502	404	441	412
PSRC1	NA	12	10	4	0	1	19	8	1	0	2
PLA2G10	NA	2	0	0	0	0	1	0	2	0	0
C17orf62	NA	1372	1617	640	145	980	867	955	510	414	881
KIF5C	NA	0	0	0	1	1	0	0	0	0	0
MRPL37	NA	679	633	313	130	311	407	436	331	347	342
PCDH9-AS2	NA	0	0	0	0	0	0	0	0	0	0
LOC101928995	NA	0	0	0	0	0	0	0	0	0	0
C9orf135	NA	0	0	0	0	0	0	0	0	0	0
DUSP10	NA	241	816	235	225	632	265	758	254	462	704
PSMA5	NA	609	693	240	169	656	328	464	250	424	518
CLCNKB	NA	0	1	0	0	0	0	0	0	0	0
AMPD3	NA	297	341	285	545	2212	433	595	1115	2454	2689
PIAS1	NA	1561	1547	459	479	1196	1191	1050	471	1042	1090
PTCSC3	NA	0	0	0	0	0	0	0	0	0	1
ADCYAP1R1	NA	0	0	0	0	2	1	0	0	0	0
GLTPD2	NA	0	7	0	0	0	0	1	0	0	0
GYLTL1B	NA	0	0	0	0	0	0	1	0	0	1
TMEM134	NA	255	304	119	70	145	174	183	132	152	122
CDH20	NA	0	0	0	0	0	0	0	0	0	0
FBXO7	NA	1291	1493	710	667	2124	910	1163	775	1408	1353
ZNF3	NA	247	127	43	39	133	138	83	75	115	93
LOC101928118	NA	0	0	0	0	1	4	2	11	18	2
CHDC2	NA	0	0	0	0	0	0	0	0	0	0
LRRFIP1	NA	8612	10505	5504	4124	12273	5836	7333	5796	6754	6615
MIR4330	NA	0	0	0	0	0	0	0	0	0	0
OTUD6B-AS1	NA	350	692	306	99	127	227	372	226	142	114
CNOT2	NA	803	853	391	236	594	613	617	375	502	491
ABI3	NA	323	389	116	24	42	110	84	40	30	19
ALDH5A1	NA	278	305	120	89	161	306	254	208	168	163
ZBTB46-AS1	NA	2	4	2	0	0	0	2	2	0	0
SERPINA4	NA	0	0	0	0	0	0	0	0	0	0
FKTN	NA	295	252	107	62	171	175	203	121	170	181
MIR6867	NA	0	0	0	0	0	0	0	0	0	0
RERGL	NA	0	0	0	0	0	0	0	0	0	0
LOC148696	NA	35	120	45	21	63	17	46	35	17	38
TK2	NA	570	716	301	91	101	385	485	317	131	80
TRIM16	NA	37	39	32	9	59	16	33	66	39	33
STMN1	NA	537	576	274	156	269	485	518	329	408	272
GUCA2A	NA	0	0	0	0	0	0	0	0	0	0
PIFO	NA	0	0	0	0	0	0	1	1	0	0
MIR6726	NA	0	0	0	0	0	0	0	0	0	0
DPP6	NA	0	0	0	0	0	0	0	0	0	0
GALNT10	NA	359	441	198	125	283	431	498	340	333	254
MORC2-AS1	NA	28	26	7	0	2	11	13	10	1	5
PRELID2	NA	10	29	21	2	1	19	48	14	11	15
STK39	NA	137	206	108	56	105	147	164	112	139	127
MIR500B	NA	0	0	0	0	0	0	0	0	0	0
MIR8074	NA	0	0	0	0	0	0	0	0	0	0
SFTPA1	NA	0	0	0	0	0	0	0	0	0	0
CKS2	NA	25	39	23	12	30	31	38	22	15	26
RHO	NA	8	1	4	6	2	1	5	5	9	8
XKR3	NA	76	63	28	1	1	20	15	13	2	0
CR1	NA	14175	17497	8759	5411	12608	6041	7103	5300	6481	6070
RPS6KA2	NA	666	775	405	156	322	646	804	577	443	331
MIR4756	NA	0	0	0	0	0	0	0	0	0	0
MRPL22	NA	127	117	58	32	76	102	115	63	69	84
NUP210P1	NA	0	0	0	0	0	0	0	0	0	0
GADD45B	NA	110	2656	1228	439	936	146	2331	2489	3346	1882
PWAR1	NA	0	0	0	0	0	0	0	0	0	0
KLHDC1	NA	20	31	8	2	12	16	15	4	13	3
MINOS1P1	NA	18	7	2	6	22	7	0	7	11	6
RNF217-AS1	NA	5	3	0	1	2	3	0	1	0	1
ZNF287	NA	7	14	5	0	0	4	1	0	0	4
C2orf48	NA	0	0	0	0	0	0	0	0	2	0
DAAM2	NA	5	2	3	0	1	0	0	0	0	0
DPPA2	NA	0	0	0	0	0	0	0	0	0	0
TCTN3	NA	295	340	151	57	100	241	309	175	142	141
ZNF571-AS1	NA	19	24	12	1	6	7	8	5	7	7
RAD21L1	NA	0	0	0	0	0	0	0	0	0	0
DNAJB11	NA	535	629	314	208	509	562	698	592	743	646
FBRS	NA	1255	1619	839	479	1238	703	1017	1071	1166	1162
SNORA16A	NA	0	0	0	0	0	1	1	0	0	2
CT45A7	NA	0	0	0	0	0	0	0	0	0	0
FPR1	NA	28	45	18	6	51	71	104	77	130	319
SPATA24	NA	2	0	0	0	2	0	1	1	2	1
PRSS42	NA	0	0	0	0	0	0	0	0	0	0
ATL1	NA	99	118	41	55	108	60	55	32	80	71
LOC100506790	NA	0	0	0	0	0	0	0	0	0	0
PTCD2	NA	40	53	11	2	16	22	18	8	18	11
LOC101928739	NA	0	0	0	0	0	0	0	0	0	0
SMOC2	NA	0	0	0	0	0	0	0	0	0	0
SERPINB11	NA	0	0	0	0	0	0	0	0	0	0
CABP7	NA	1	0	1	0	3	0	0	0	2	3
ITGA10	NA	0	1	0	0	1	0	0	2	0	0
MAGEF1	NA	12	9	10	3	1	19	14	3	4	9
NDE1	NA	254	254	141	127	254	193	194	264	293	147
CDK18	NA	250	276	146	79	287	205	167	119	177	130
FSHB	NA	0	0	0	0	0	0	0	0	0	0
ANXA2	NA	12763	14922	7678	7171	20801	12542	14547	12795	21878	22720
LINC00850	NA	0	0	0	0	0	0	0	0	0	0
WTAPP1	NA	0	0	0	0	0	0	0	0	0	0
HLCS	NA	201	211	96	50	78	87	115	99	69	52
HORMAD2	NA	0	0	0	0	0	0	0	0	0	0
MCF2L	NA	7	8	4	0	0	0	0	0	0	0
SCARNA22	NA	1	1	0	1	0	4	1	0	0	1
FH	NA	457	560	248	197	254	358	400	343	384	263
TBC1D24	NA	305	301	137	28	55	246	284	146	53	78
LGALS2	NA	36	28	17	15	9	2	3	4	1	0
SYNPO2L	NA	4	0	0	0	1	0	2	5	2	8
CNBD1	NA	0	0	0	0	0	0	0	0	0	0
MIR517B	NA	0	0	0	0	0	0	0	0	0	0
PTPN23	NA	1203	1371	600	266	1040	976	1007	670	718	924
MAGEA8	NA	1	0	0	0	5	0	0	0	0	1
DGCR8	NA	293	301	162	81	232	189	192	156	174	253
GSR	NA	1081	1300	593	337	743	867	948	710	860	783
PAQR7	NA	22	23	10	9	8	22	27	8	0	5
MIR4459	NA	0	0	0	0	0	0	0	0	0	0
ZNF676	NA	0	0	0	1	0	0	0	0	0	0
CACNA1C	NA	0	0	2	0	0	1	3	0	0	0
CCDC162P	NA	0	0	0	0	0	0	0	0	0	0
LOC103091866	NA	11	9	10	3	14	17	15	13	11	13
SP7	NA	0	0	0	0	0	0	0	0	0	0
PDCD6	NA	503	611	285	83	188	274	400	219	180	180
LOC101929450	NA	1	2	0	1	0	1	1	1	2	3
NRN1L	NA	2	0	0	0	1	0	0	0	0	2
HCG23	NA	0	0	0	0	0	0	0	0	0	0
PLBD2	NA	4590	5536	2852	1735	5016	3941	4653	3967	4718	4962
BRI3BP	NA	164	194	89	27	40	111	133	82	42	26
ASB4	NA	0	0	0	0	0	0	0	0	0	0
C10orf55	NA	65	61	22	2	27	32	41	14	7	15
CCL23	NA	348	475	271	251	640	631	874	854	1258	1130
OBSL1	NA	0	0	0	0	0	0	1	2	0	0
SLC12A7	NA	1315	1784	1018	530	1086	1088	1415	1560	1254	993
CD1B	NA	3827	4571	2218	1341	3188	2059	2556	1689	2175	2033
FCGR2A	NA	5029	6452	4017	3812	8850	6682	8832	7995	11685	10769
LINC01139	NA	0	0	0	0	0	0	0	0	0	0
MDC1	NA	341	507	207	51	164	250	352	231	181	181
MIR5685	NA	0	0	0	0	0	0	0	0	0	0
LINC00493	NA	201	201	74	29	68	107	162	67	76	64
KRT9	NA	0	0	0	0	0	0	0	0	0	0
C20orf62	NA	0	0	0	0	0	0	0	0	0	0
HTR1A	NA	0	0	0	0	0	0	0	0	0	0
OCEL1	NA	106	83	34	17	14	49	66	40	23	6
ATP11B	NA	1590	1918	896	744	2156	963	1374	1016	1321	1452
FBXO34	NA	406	442	263	344	604	306	379	408	629	310
FSD2	NA	8	1	2	5	12	10	8	2	17	6
RPE	NA	807	766	289	112	258	653	597	308	249	266
PCDH12	NA	7	15	5	5	12	6	8	12	2	2
C17orf74	NA	0	0	0	0	0	0	0	0	0	0
CSDC2	NA	0	2	0	0	2	0	0	0	0	0
OR6B2	NA	0	1	0	0	0	0	0	0	0	0
LOC101928298	NA	0	0	0	0	0	0	0	0	0	0
TMBIM1	NA	2867	3166	1798	2452	7364	2629	2824	2766	5486	5849
UNCX	NA	0	0	0	0	0	0	0	0	0	0
TCHP	NA	193	264	83	21	72	174	156	77	62	43
TRMT1	NA	130	208	76	37	68	78	113	111	85	80
CFAP36	NA	154	171	110	45	78	123	94	76	104	87
EXOC3L4	NA	0	0	0	0	0	0	0	2	9	22
F2RL2	NA	14	9	7	20	19	3	7	13	16	14
MIR4498	NA	0	0	0	0	0	0	0	0	0	0
ZNF385C	NA	2	1	1	0	6	5	2	6	5	5
ZDHHC1	NA	29	46	11	12	36	15	24	21	11	10
IMPG2	NA	0	2	0	0	3	0	4	0	0	8
LRRC32	NA	101	203	378	598	1262	28	154	350	565	549
BGLAP	NA	0	0	0	0	3	0	0	0	0	0
LINC00375	NA	0	0	0	0	0	0	0	0	0	0
MRAS	NA	3382	4176	2180	1367	3607	2013	2432	1802	2420	2055
SLC35F5	NA	795	965	452	522	1058	668	821	654	989	863
CBWD1	NA	275	376	177	136	357	226	262	167	337	237
AXL	NA	8	4	1	13	136	12	10	7	60	100
ATP2C2	NA	0	0	1	0	1	0	1	0	0	0
FAM74A4	NA	0	0	0	2	0	0	0	0	0	0
TELO2	NA	68	125	51	17	50	58	62	71	28	42
PNPLA3	NA	40	34	17	3	6	50	69	18	9	2
PCDHB14	NA	0	0	0	0	5	0	0	0	0	1
CD276	NA	5381	6710	4088	3906	12882	4031	4801	5627	9322	8835
LOC102723885	NA	1	2	2	3	3	0	3	3	4	4
MIR4762	NA	0	0	0	0	0	0	0	0	0	0
KRT80	NA	0	0	0	0	0	0	0	0	0	0
DUSP28	NA	36	28	25	5	11	12	26	11	24	8
ANO4	NA	0	0	0	0	0	0	0	0	0	0
CSNK1E	NA	281	380	190	89	214	209	253	188	162	152
SRP14	NA	1796	2238	1109	731	1831	1819	2044	1475	2303	2119
PPP5D1	NA	3	1	1	0	2	0	0	0	0	1
KCNQ4	NA	1	1	0	0	1	0	6	0	4	0
KRT72	NA	0	0	0	0	3	0	0	0	0	0
NAPA-AS1	NA	10	3	0	0	2	1	3	4	1	0
C6orf89	NA	898	956	477	210	522	777	821	474	425	493
CCDC117	NA	440	318	123	512	662	352	284	190	915	444
MIR516A1	NA	0	0	0	0	0	0	0	0	0	0
MIR6780B	NA	0	0	0	0	0	0	0	0	0	0
TUBB2B	NA	45	30	18	10	42	17	12	20	37	73
RTN4IP1	NA	60	62	25	2	23	46	45	20	29	20
CEND1	NA	0	0	0	0	2	0	0	0	0	0
CR1L	NA	1	1	0	2	11	0	7	0	3	3
LOC101929570	NA	0	0	0	0	0	0	0	0	0	0
RNF31	NA	487	568	196	269	915	314	304	212	587	578
UBN1	NA	965	1066	311	223	582	678	722	445	419	574
SLC5A7	NA	0	0	0	0	0	0	0	0	0	0
FAM153B	NA	0	0	0	0	0	0	0	0	0	0
GNA14-AS1	NA	0	0	0	0	0	0	0	0	0	0
ESAM	NA	6	2	2	3	4	2	1	2	3	2
CTNNA1	NA	3895	4665	2404	2232	6901	3060	3616	2900	5015	5716
LINC00595	NA	0	0	0	0	0	0	0	0	0	0
ZNRF2P1	NA	3	10	1	2	3	1	8	1	6	9
MKLN1-AS	NA	7	19	2	10	6	2	11	12	6	4
CBX4	NA	374	337	87	136	420	227	149	88	266	360
TMEM182	NA	9	5	6	2	0	9	4	1	3	0
DUPD1	NA	0	0	0	0	1	0	0	1	0	0
C17orf49	NA	14	23	17	20	106	29	32	88	106	65
SH3TC2	NA	1	0	0	0	2	0	0	0	0	0
IL10	NA	173	265	452	127	284	239	517	1298	1492	1648
PXMP4	NA	87	63	28	11	2	56	38	10	14	7
RNF167	NA	882	1023	519	260	507	558	623	439	488	348
MIR6721	NA	0	0	0	0	0	0	0	0	0	0
MBD3L3	NA	0	0	0	0	0	0	0	1	0	0
LOC647859	NA	0	0	0	0	0	0	0	1	0	0
SPANXN5	NA	0	0	0	0	0	0	0	0	0	0
PAK7	NA	0	0	0	0	0	0	0	0	0	1
ATPIF1	NA	660	817	392	207	329	417	541	397	330	168
ETV3	NA	358	750	1041	545	878	326	1173	2453	2442	1916
LOC100507487	NA	3	0	0	1	0	0	1	2	1	0
OR8H1	NA	0	0	0	0	0	0	0	0	0	0
MIR3164	NA	0	0	0	0	0	0	0	0	0	0
WDFY3	NA	1980	2468	1138	804	2480	1616	2105	1337	1841	1959
PSMB11	NA	0	0	0	0	0	0	0	0	0	0
